#ACCESSION	ORGANISM	START	END	DETECTION
NC_009925.1	Acaryochloris marina	2268064	2280662	Islander
NC_009925.1	Acaryochloris marina	4267512	4283494	Islander
NC_009925.1	Acaryochloris marina	5884339	5934746	Islander
NC_009925.1	Acaryochloris marina	1278940	1324451	Islander
NC_013209.1	Acetobacter pasteurianus	182686	187522	Islander
NC_013209.1	Acetobacter pasteurianus	187523	201080	Islander
NC_013209.1	Acetobacter pasteurianus	2177266	2216088	Islander
NC_013209.1	Acetobacter pasteurianus	2470340	2488431	Islander
NC_013209.1	Acetobacter pasteurianus	2787309	2795937	Islander
NC_013209.1	Acetobacter pasteurianus	2897812	2573	Islander
NC_013209.1	Acetobacter pasteurianus	858048	863679	Islander
NC_013209.1	Acetobacter pasteurianus	863680	888943	Islander
NC_017100.1	Acetobacter pasteurianus	182686	187522	Islander
NC_017100.1	Acetobacter pasteurianus	187523	201080	Islander
NC_017100.1	Acetobacter pasteurianus	2179906	2218710	Islander
NC_017100.1	Acetobacter pasteurianus	2471547	2489638	Islander
NC_017100.1	Acetobacter pasteurianus	2787101	2795729	Islander
NC_017100.1	Acetobacter pasteurianus	2897604	2573	Islander
NC_017100.1	Acetobacter pasteurianus	858042	863673	Islander
NC_017100.1	Acetobacter pasteurianus	863674	888937	Islander
NC_017121.1	Acetobacter pasteurianus	182686	187522	Islander
NC_017121.1	Acetobacter pasteurianus	187523	201080	Islander
NC_017121.1	Acetobacter pasteurianus	2177248	2216052	Islander
NC_017121.1	Acetobacter pasteurianus	2468889	2486980	Islander
NC_017121.1	Acetobacter pasteurianus	2785858	2794486	Islander
NC_017121.1	Acetobacter pasteurianus	2896361	2573	Islander
NC_017121.1	Acetobacter pasteurianus	858042	863673	Islander
NC_017121.1	Acetobacter pasteurianus	863674	888937	Islander
NC_017125.1	Acetobacter pasteurianus	182686	187522	Islander
NC_017125.1	Acetobacter pasteurianus	187523	201080	Islander
NC_017125.1	Acetobacter pasteurianus	2179886	2218690	Islander
NC_017125.1	Acetobacter pasteurianus	2471527	2489618	Islander
NC_017125.1	Acetobacter pasteurianus	2787081	2795709	Islander
NC_017125.1	Acetobacter pasteurianus	2897584	2573	Islander
NC_017125.1	Acetobacter pasteurianus	858042	863673	Islander
NC_017125.1	Acetobacter pasteurianus	863674	888937	Islander
NC_017146.1	Acetobacter pasteurianus	182686	187522	Islander
NC_017146.1	Acetobacter pasteurianus	187523	201080	Islander
NC_017146.1	Acetobacter pasteurianus	2179928	2218732	Islander
NC_017146.1	Acetobacter pasteurianus	2471569	2489660	Islander
NC_017146.1	Acetobacter pasteurianus	2787123	2795751	Islander
NC_017146.1	Acetobacter pasteurianus	2897626	2573	Islander
NC_017146.1	Acetobacter pasteurianus	858042	863673	Islander
NC_017146.1	Acetobacter pasteurianus	863674	888937	Islander
NC_017111.1	Acetobacter pasteurianus	182686	187522	Islander
NC_017111.1	Acetobacter pasteurianus	187523	201080	Islander
NC_017111.1	Acetobacter pasteurianus	2177261	2216065	Islander
NC_017111.1	Acetobacter pasteurianus	2468902	2486993	Islander
NC_017111.1	Acetobacter pasteurianus	2784456	2793084	Islander
NC_017111.1	Acetobacter pasteurianus	2894959	2573	Islander
NC_017111.1	Acetobacter pasteurianus	858042	863673	Islander
NC_017111.1	Acetobacter pasteurianus	863674	888937	Islander
NC_017150.1	Acetobacter pasteurianus	182686	187522	Islander
NC_017150.1	Acetobacter pasteurianus	187523	201080	Islander
NC_017150.1	Acetobacter pasteurianus	2085012	2123834	Islander
NC_017150.1	Acetobacter pasteurianus	2378086	2396177	Islander
NC_017150.1	Acetobacter pasteurianus	2695055	2703683	Islander
NC_017150.1	Acetobacter pasteurianus	2805558	2573	Islander
NC_017150.1	Acetobacter pasteurianus	858048	863679	Islander
NC_017150.1	Acetobacter pasteurianus	863680	888943	Islander
NC_017108.1	Acetobacter pasteurianus	182686	187522	Islander
NC_017108.1	Acetobacter pasteurianus	187523	201080	Islander
NC_017108.1	Acetobacter pasteurianus	2177243	2216047	Islander
NC_017108.1	Acetobacter pasteurianus	2468884	2486975	Islander
NC_017108.1	Acetobacter pasteurianus	2784438	2793066	Islander
NC_017108.1	Acetobacter pasteurianus	2894941	2573	Islander
NC_017108.1	Acetobacter pasteurianus	858042	863673	Islander
NC_017108.1	Acetobacter pasteurianus	863674	888937	Islander
NC_016894.1	Acetobacterium woodii	1272445	1394936	Islander
NC_016894.1	Acetobacterium woodii	1394937	1403150	Islander
NC_016894.1	Acetobacterium woodii	146517	168679	Islander
NC_014640.1	Achromobacter xylosoxidans	1127781	1210922	Islander
NC_014640.1	Achromobacter xylosoxidans	4298646	4342029	Islander
NC_009484.1	Acidiphilium cryptum	1304477	1312647	Islander
NC_009484.1	Acidiphilium cryptum	2667013	2682433	Islander
NC_009484.1	Acidiphilium cryptum	316452	338475	Islander
NC_015186.1	Acidiphilium multivorum	2235296	2287889	Islander
NC_015186.1	Acidiphilium multivorum	3427696	3435027	Islander
NC_015186.1	Acidiphilium multivorum	348917	371342	Islander
NC_015186.1	Acidiphilium multivorum	442719	514860	Islander
NC_015850.1	Acidithiobacillus caldus	1008427	1027041	Islander
NC_015850.1	Acidithiobacillus caldus	1027042	1089366	Islander
NC_015850.1	Acidithiobacillus caldus	108117	212503	Islander
NC_015850.1	Acidithiobacillus caldus	1854214	1880289	Islander
NC_015850.1	Acidithiobacillus caldus	1891565	1903980	Islander
NC_015850.1	Acidithiobacillus caldus	2026458	2041168	Islander
NC_015850.1	Acidithiobacillus caldus	2041169	2183875	Islander
NC_015850.1	Acidithiobacillus caldus	436940	450660	Islander
NC_015850.1	Acidithiobacillus caldus	742608	793208	Islander
NC_015942.1	Acidithiobacillus ferrivorans	1060880	1073439	Islander
NC_015942.1	Acidithiobacillus ferrivorans	1873722	1974982	Islander
NC_015942.1	Acidithiobacillus ferrivorans	2276857	2380249	Islander
NC_015942.1	Acidithiobacillus ferrivorans	415912	554433	Islander
NC_011206.1	Acidithiobacillus ferrooxidans	1234018	1392789	Islander
NC_011761.1	Acidithiobacillus ferrooxidans	1346988	1522506	Islander
NC_011761.1	Acidithiobacillus ferrooxidans	748801	770129	Islander
NC_012483.1	Acidobacterium capsulatum	1390413	1452419	Islander
NC_012483.1	Acidobacterium capsulatum	1797071	1880308	Islander
NC_012483.1	Acidobacterium capsulatum	3658981	3795846	Islander
NC_008752.1	Acidovorax citrulli	1828536	1895290	Islander
NC_008752.1	Acidovorax citrulli	421038	432330	Islander
NC_008752.1	Acidovorax citrulli	2554401	2611683	Islander
NC_008782.1	Acidovorax sp.	1870915	1877982	Islander
NC_008782.1	Acidovorax sp.	3076321	3129239	Islander
NC_008782.1	Acidovorax sp.	3523887	3533747	Islander
NC_008782.1	Acidovorax sp.	850974	887050	Islander
NC_018708.1	Acidovorax sp.	1229909	1375590	Islander
NC_018708.1	Acidovorax sp.	2332830	2363709	Islander
NC_018708.1	Acidovorax sp.	3031237	3071037	Islander
NC_018708.1	Acidovorax sp.	3071038	3096927	Islander
NC_018708.1	Acidovorax sp.	3096928	3105254	Islander
NC_018708.1	Acidovorax sp.	3434599	3495978	Islander
NC_018708.1	Acidovorax sp.	459550	466642	Islander
NC_011595.1	Acinetobacter baumannii	237273	270740	Islander
NC_011586.1	Acinetobacter baumannii AB0057	2759376	2809756	Islander
NC_011586.1	Acinetobacter baumannii AB0057	3311844	3364667	Islander
NC_010410.1	Acinetobacter baumannii	548353	580661	Islander
NC_017171.1	Acinetobacter baumannii	989188	1072251	Islander
NC_018706.1	Acinetobacter baumannii	1211268	1293142	Islander
NC_014259.1	Acinetobacter oleivorans	3182636	3224859	Islander
NC_005966.1	Acinetobacter sp.	2120332	2169684	Islander
NC_010939.1	Actinobacillus pleuropneumoniae	2002003	2013044	Islander
NC_010939.1	Actinobacillus pleuropneumoniae	517118	561477	Islander
