#ACCESSION	ORGANISM	START	END	DETECTION
NC_009925.1	Acaryochloris marina	56869	63222	Dimob
NC_009925.1	Acaryochloris marina	218881	233924	Dimob
NC_009925.1	Acaryochloris marina	464993	473932	Dimob
NC_009925.1	Acaryochloris marina	1002828	1011815	Dimob
NC_009925.1	Acaryochloris marina	1290056	1336215	Dimob
NC_009925.1	Acaryochloris marina	1569274	1587637	Dimob
NC_009925.1	Acaryochloris marina	1620586	1638289	Dimob
NC_009925.1	Acaryochloris marina	2086115	2092105	Dimob
NC_009925.1	Acaryochloris marina	2267634	2279637	Dimob
NC_009925.1	Acaryochloris marina	2402873	2413127	Dimob
NC_009925.1	Acaryochloris marina	2708122	2715124	Dimob
NC_009925.1	Acaryochloris marina	3044185	3051279	Dimob
NC_009925.1	Acaryochloris marina	3213896	3247946	Dimob
NC_009925.1	Acaryochloris marina	3305527	3321610	Dimob
NC_009925.1	Acaryochloris marina	3395087	3409654	Dimob
NC_009925.1	Acaryochloris marina	3737122	3758005	Dimob
NC_009925.1	Acaryochloris marina	3912558	3920405	Dimob
NC_009925.1	Acaryochloris marina	4217056	4222515	Dimob
NC_009925.1	Acaryochloris marina	4244335	4254493	Dimob
NC_009925.1	Acaryochloris marina	4307981	4324020	Dimob
NC_009925.1	Acaryochloris marina	5350419	5358611	Dimob
NC_009925.1	Acaryochloris marina	5710148	5724434	Dimob
NC_009925.1	Acaryochloris marina	5737095	5748507	Dimob
NC_009925.1	Acaryochloris marina	5888612	5908187	Dimob
NC_009925.1	Acaryochloris marina	5965747	5980219	Dimob
NC_009925.1	Acaryochloris marina	6059550	6069040	Dimob
NC_009925.1	Acaryochloris marina	6104458	6111198	Dimob
NC_009925.1	Acaryochloris marina	6189094	6211620	Dimob
NC_009925.1	Acaryochloris marina	6222933	6348626	Dimob
NC_013209.1	Acetobacter pasteurianus	168917	202426	Dimob
NC_013209.1	Acetobacter pasteurianus	276160	282210	Dimob
NC_013209.1	Acetobacter pasteurianus	502186	567461	Dimob
NC_013209.1	Acetobacter pasteurianus	850782	884979	Dimob
NC_013209.1	Acetobacter pasteurianus	1497521	1505911	Dimob
NC_013209.1	Acetobacter pasteurianus	1518086	1536235	Dimob
NC_013209.1	Acetobacter pasteurianus	1711853	1718664	Dimob
NC_013209.1	Acetobacter pasteurianus	1918089	1980248	Dimob
NC_013209.1	Acetobacter pasteurianus	2026602	2046969	Dimob
NC_013209.1	Acetobacter pasteurianus	2176960	2214934	Dimob
NC_013209.1	Acetobacter pasteurianus	2353336	2362237	Dimob
NC_013209.1	Acetobacter pasteurianus	2475615	2486606	Dimob
NC_013209.1	Acetobacter pasteurianus	2580267	2607185	Dimob
NC_013209.1	Acetobacter pasteurianus	2785301	2795725	Dimob
NC_013209.1	Acetobacter pasteurianus	2895574	2904483	Dimob
NC_017100.1	Acetobacter pasteurianus	168917	202426	Dimob
NC_017100.1	Acetobacter pasteurianus	276160	282210	Dimob
NC_017100.1	Acetobacter pasteurianus	502180	567455	Dimob
NC_017100.1	Acetobacter pasteurianus	850776	884973	Dimob
NC_017100.1	Acetobacter pasteurianus	1498532	1506922	Dimob
NC_017100.1	Acetobacter pasteurianus	1519097	1537246	Dimob
NC_017100.1	Acetobacter pasteurianus	1919076	1982903	Dimob
NC_017100.1	Acetobacter pasteurianus	2029257	2049609	Dimob
NC_017100.1	Acetobacter pasteurianus	2179600	2217556	Dimob
NC_017100.1	Acetobacter pasteurianus	2355958	2364859	Dimob
NC_017100.1	Acetobacter pasteurianus	2476822	2487813	Dimob
NC_017100.1	Acetobacter pasteurianus	2581474	2608392	Dimob
NC_017100.1	Acetobacter pasteurianus	2785093	2795517	Dimob
NC_017100.1	Acetobacter pasteurianus	2895366	2904275	Dimob
NC_017121.1	Acetobacter pasteurianus	168917	202426	Dimob
NC_017121.1	Acetobacter pasteurianus	276160	282210	Dimob
NC_017121.1	Acetobacter pasteurianus	502180	567455	Dimob
NC_017121.1	Acetobacter pasteurianus	850776	884973	Dimob
NC_017121.1	Acetobacter pasteurianus	1497515	1505905	Dimob
NC_017121.1	Acetobacter pasteurianus	1518080	1536229	Dimob
NC_017121.1	Acetobacter pasteurianus	1918071	1980230	Dimob
NC_017121.1	Acetobacter pasteurianus	2026584	2046951	Dimob
NC_017121.1	Acetobacter pasteurianus	2176942	2214898	Dimob
NC_017121.1	Acetobacter pasteurianus	2353300	2362201	Dimob
NC_017121.1	Acetobacter pasteurianus	2474164	2485155	Dimob
NC_017121.1	Acetobacter pasteurianus	2578816	2605734	Dimob
NC_017121.1	Acetobacter pasteurianus	2783850	2794274	Dimob
NC_017121.1	Acetobacter pasteurianus	2894123	2903032	Dimob
NC_017125.1	Acetobacter pasteurianus	168917	202426	Dimob
NC_017125.1	Acetobacter pasteurianus	276160	282210	Dimob
NC_017125.1	Acetobacter pasteurianus	502180	567455	Dimob
NC_017125.1	Acetobacter pasteurianus	850776	884973	Dimob
NC_017125.1	Acetobacter pasteurianus	1498532	1506922	Dimob
NC_017125.1	Acetobacter pasteurianus	1519097	1537246	Dimob
NC_017125.1	Acetobacter pasteurianus	1919070	1982898	Dimob
NC_017125.1	Acetobacter pasteurianus	2029252	2049589	Dimob
NC_017125.1	Acetobacter pasteurianus	2179580	2217536	Dimob
NC_017125.1	Acetobacter pasteurianus	2355938	2364839	Dimob
NC_017125.1	Acetobacter pasteurianus	2476802	2487793	Dimob
NC_017125.1	Acetobacter pasteurianus	2581454	2608372	Dimob
NC_017125.1	Acetobacter pasteurianus	2785073	2795497	Dimob
NC_017125.1	Acetobacter pasteurianus	2895346	2904255	Dimob
