#ACCESSION	ORGANISM	START	END	DETECTION
NC_009925.1	Acaryochloris marina	335770	361654	Sigi
NC_009925.1	Acaryochloris marina	1624770	1630831	Sigi
NC_009925.1	Acaryochloris marina	2273277	2277806	Sigi
NC_009925.1	Acaryochloris marina	2413394	2417736	Sigi
NC_009925.1	Acaryochloris marina	2747589	2753457	Sigi
NC_009925.1	Acaryochloris marina	3666438	3671427	Sigi
NC_009925.1	Acaryochloris marina	5006219	5011324	Sigi
NC_009925.1	Acaryochloris marina	5063722	5068944	Sigi
NC_009925.1	Acaryochloris marina	5487815	5493847	Sigi
NC_009925.1	Acaryochloris marina	5846558	5858919	Sigi
NC_009925.1	Acaryochloris marina	6366916	6371514	Sigi
NC_013209.1	Acetobacter pasteurianus	168917	185831	Sigi
NC_013209.1	Acetobacter pasteurianus	191232	197397	Sigi
NC_013209.1	Acetobacter pasteurianus	851672	868620	Sigi
NC_013209.1	Acetobacter pasteurianus	871544	875860	Sigi
NC_013209.1	Acetobacter pasteurianus	1412836	1417926	Sigi
NC_013209.1	Acetobacter pasteurianus	1949788	1956429	Sigi
NC_013209.1	Acetobacter pasteurianus	2039832	2045686	Sigi
NC_013209.1	Acetobacter pasteurianus	2207745	2211983	Sigi
NC_013209.1	Acetobacter pasteurianus	2257315	2261696	Sigi
NC_013209.1	Acetobacter pasteurianus	2351874	2357262	Sigi
NC_013209.1	Acetobacter pasteurianus	2787897	2795725	Sigi
NC_013209.1	Acetobacter pasteurianus	2827649	2832369	Sigi
NC_017100.1	Acetobacter pasteurianus	168917	185831	Sigi
NC_017100.1	Acetobacter pasteurianus	191232	197397	Sigi
NC_017100.1	Acetobacter pasteurianus	851666	868614	Sigi
NC_017100.1	Acetobacter pasteurianus	871538	875854	Sigi
NC_017100.1	Acetobacter pasteurianus	1413847	1418937	Sigi
NC_017100.1	Acetobacter pasteurianus	2042472	2048326	Sigi
NC_017100.1	Acetobacter pasteurianus	2210385	2214605	Sigi
NC_017100.1	Acetobacter pasteurianus	2259937	2264318	Sigi
NC_017100.1	Acetobacter pasteurianus	2354496	2359884	Sigi
NC_017100.1	Acetobacter pasteurianus	2787689	2795517	Sigi
NC_017100.1	Acetobacter pasteurianus	2827441	2832161	Sigi
NC_017121.1	Acetobacter pasteurianus	168917	185831	Sigi
NC_017121.1	Acetobacter pasteurianus	191232	197397	Sigi
NC_017121.1	Acetobacter pasteurianus	851666	868614	Sigi
NC_017121.1	Acetobacter pasteurianus	871538	875854	Sigi
NC_017121.1	Acetobacter pasteurianus	1412830	1417920	Sigi
NC_017121.1	Acetobacter pasteurianus	1949770	1956411	Sigi
NC_017121.1	Acetobacter pasteurianus	2039814	2045668	Sigi
NC_017121.1	Acetobacter pasteurianus	2207727	2211947	Sigi
NC_017121.1	Acetobacter pasteurianus	2257279	2261660	Sigi
NC_017121.1	Acetobacter pasteurianus	2351838	2357226	Sigi
NC_017121.1	Acetobacter pasteurianus	2786446	2794274	Sigi
NC_017121.1	Acetobacter pasteurianus	2826198	2830918	Sigi
NC_017125.1	Acetobacter pasteurianus	168917	185831	Sigi
NC_017125.1	Acetobacter pasteurianus	191232	197397	Sigi
NC_017125.1	Acetobacter pasteurianus	851666	868614	Sigi
NC_017125.1	Acetobacter pasteurianus	871538	875854	Sigi
NC_017125.1	Acetobacter pasteurianus	1413847	1418937	Sigi
NC_017125.1	Acetobacter pasteurianus	2042452	2048306	Sigi
NC_017125.1	Acetobacter pasteurianus	2210365	2214585	Sigi
NC_017125.1	Acetobacter pasteurianus	2259917	2264298	Sigi
NC_017125.1	Acetobacter pasteurianus	2354476	2359864	Sigi
NC_017125.1	Acetobacter pasteurianus	2787669	2795497	Sigi
NC_017125.1	Acetobacter pasteurianus	2827421	2832141	Sigi
NC_017146.1	Acetobacter pasteurianus	168917	185831	Sigi
NC_017146.1	Acetobacter pasteurianus	191232	197397	Sigi
NC_017146.1	Acetobacter pasteurianus	851666	868614	Sigi
NC_017146.1	Acetobacter pasteurianus	871538	875854	Sigi
NC_017146.1	Acetobacter pasteurianus	1413847	1418937	Sigi
NC_017146.1	Acetobacter pasteurianus	2042494	2048348	Sigi
NC_017146.1	Acetobacter pasteurianus	2210407	2214627	Sigi
NC_017146.1	Acetobacter pasteurianus	2259959	2264340	Sigi
NC_017146.1	Acetobacter pasteurianus	2354518	2359906	Sigi
NC_017146.1	Acetobacter pasteurianus	2787711	2795539	Sigi
NC_017146.1	Acetobacter pasteurianus	2827463	2832183	Sigi
NC_017111.1	Acetobacter pasteurianus	168917	185831	Sigi
NC_017111.1	Acetobacter pasteurianus	191232	197397	Sigi
NC_017111.1	Acetobacter pasteurianus	851666	868614	Sigi
NC_017111.1	Acetobacter pasteurianus	871538	875854	Sigi
NC_017111.1	Acetobacter pasteurianus	1412830	1417920	Sigi
