#ACCESSION	ORGANISM	START	END	DETECTION
NC_014640.1	Achromobacter xylosoxidans	438141	448616	Islandpick
NC_014640.1	Achromobacter xylosoxidans	1109242	1117839	Islandpick
NC_014640.1	Achromobacter xylosoxidans	2157197	2162107	Islandpick
NC_014640.1	Achromobacter xylosoxidans	2162211	2174924	Islandpick
NC_014640.1	Achromobacter xylosoxidans	2175469	2188249	Islandpick
NC_014640.1	Achromobacter xylosoxidans	2192578	2199538	Islandpick
NC_014640.1	Achromobacter xylosoxidans	2199665	2203936	Islandpick
NC_014640.1	Achromobacter xylosoxidans	2701803	2707429	Islandpick
NC_014640.1	Achromobacter xylosoxidans	2777906	2784081	Islandpick
NC_014640.1	Achromobacter xylosoxidans	3284086	3291162	Islandpick
NC_014640.1	Achromobacter xylosoxidans	3333646	3342848	Islandpick
NC_014640.1	Achromobacter xylosoxidans	3342983	3348390	Islandpick
NC_014640.1	Achromobacter xylosoxidans	3379391	3391869	Islandpick
NC_014640.1	Achromobacter xylosoxidans	3807378	3816228	Islandpick
NC_014640.1	Achromobacter xylosoxidans	3924653	3932632	Islandpick
NC_014640.1	Achromobacter xylosoxidans	3976124	3985967	Islandpick
NC_014640.1	Achromobacter xylosoxidans	3998017	4004138	Islandpick
NC_014640.1	Achromobacter xylosoxidans	4005103	4012032	Islandpick
NC_014640.1	Achromobacter xylosoxidans	4045289	4051104	Islandpick
NC_014640.1	Achromobacter xylosoxidans	4170429	4175259	Islandpick
NC_014640.1	Achromobacter xylosoxidans	4540800	4548846	Islandpick
NC_014640.1	Achromobacter xylosoxidans	4607828	4613550	Islandpick
NC_014640.1	Achromobacter xylosoxidans	4943336	4958903	Islandpick
NC_014640.1	Achromobacter xylosoxidans	4959326	4963373	Islandpick
NC_014640.1	Achromobacter xylosoxidans	5056709	5063410	Islandpick
NC_014640.1	Achromobacter xylosoxidans	5067781	5074565	Islandpick
NC_014640.1	Achromobacter xylosoxidans	5078909	5084653	Islandpick
NC_014640.1	Achromobacter xylosoxidans	5099204	5104629	Islandpick
NC_014640.1	Achromobacter xylosoxidans	5114190	5119904	Islandpick
