#ID	ACCESSION	ORGANISM	START	END	SEQUENCE	INSERTION	REFERENCE	DETECTION
1	NC_007613.1	Shigella boydii Sb227	1360277	1370907				
2	NC_009080.1	Burkholderia mallei NCTC 10247 chromosome I, complete sequence.	2443228	2455552				
3	NC_002516.2	Pseudomonas aeruginosa PAO1	4327279	4333216				
4	NC_009445.1	Bradyrhizobium sp. ORS278	3974694	3978754				
5	NC_010400.1		1294019	1305346				islandpick=100.0;SIGI-HMM=4.3;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=77.8
6	NC_005773.3	Pseudomonas syringae pv. phaseolicola 1448A	109610	126085				
7	NC_006155.1		4625620	4636664				islandpick=100.0;SIGI-HMM=42.0;Centroid=0.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=66.8
8	NC_009445.1	Bradyrhizobium sp. ORS278	6059915	6064225				
9	NC_007651.1	Burkholderia thailandensis E264 chromosome I, complete sequence.	3108262	3119566				
10	NC_010551.1	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	1363162	1367583				
11	NC_007651.1	Burkholderia thailandensis E264 chromosome I, complete sequence.	712121	716606				
12	NC_009512.1	Pseudomonas putida F1	3713551	3717926				
13	NC_009485.1	Bradyrhizobium sp. BTAi1	454481	475594				
14	NC_010167.1	Brucella suis ATCC 23445 chromosome II, complete sequence.	888125	911128				
15	NC_004578.1		221576	232227				islandpick=100.0;SIGI-HMM=100.0;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
16	NC_004431.1	Escherichia coli CFT073	3498117	3510912				
17	NC_002695.1	Escherichia coli O157:H7 str. Sakai	3192983	3201533			Hayashi et al., 2001, DNA Res	
18	NC_004606.1	Streptococcus pyogenes SSI-1	661145	670661				
19	NC_010167.1		1225317	1297580				islandpick=100.0;SIGI-HMM=10.9;Centroid=16.0;DIMOB=10.9;PAI_IDA=24.3;DINUC=21.2;Alien_Hunter=39.3
20	NC_008060.1	Burkholderia cenocepacia AU 1054 chromosome 1, complete sequence.	1191789	1201699				
21	NC_010612.1		3815686	3827611				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=31.1;Alien_Hunter=96.4
22	NC_010515.1	Burkholderia cenocepacia MC0-3 chromosome 2, complete sequence.	968257	973195				
23	NC_006350.1		885156	896561				islandpick=100.0;SIGI-HMM=100.0;Centroid=100.0;DIMOB=100.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
24	NC_010498.1	Escherichia coli SECEC SMS-3-5	3243952	3248718				
25	NC_002695.1	Escherichia coli O157:H7 str. Sakai	5040843	5079601			Hayashi et al., 2001, DNA Res	
26	NC_009665.1	Shewanella baltica OS185	3042153	3052500				
27	NC_010582.1	Streptococcus pneumoniae CGSP14	1314204	1319542				
28	NC_002655.2		2131480	2139655				islandpick=100.0;SIGI-HMM=23.3;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=71.5
29	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	2375477	2386562				
30	NC_008595.1	Mycobacterium avium 104	270142	274523				
31	NC_007946.1		2188786	2202930				islandpick=100.0;SIGI-HMM=29.6;Centroid=0.0;DIMOB=97.7;PAI_IDA=0.0;DINUC=97.7;Alien_Hunter=97.9
32	NC_004631.1	Salmonella enterica subsp. enterica serovar Typhi Ty2	4394167	4412871				
33	NC_009512.1		3266714	3276293				islandpick=100.0;SIGI-HMM=98.5;Centroid=0.0;DIMOB=0.0;PAI_IDA=100.0;DINUC=100.0;Alien_Hunter=100.0
34	NC_008463.1	Pseudomonas aeruginosa UCBPP-PA14	4860217	4891796				
35	NC_008595.1	Mycobacterium avium 104	1795159	1802179				
36	NC_010167.1		1186315	1210728				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=17.1
37	NC_010498.1		4896420	4906791				islandpick=100.0;SIGI-HMM=21.0;Centroid=7.6;DIMOB=77.9;PAI_IDA=100.0;DINUC=77.9;Alien_Hunter=100.0
38	NC_002944.2	Mycobacterium avium subsp. paratuberculosis K-10	881112	889493				
39	NC_007384.1	Shigella sonnei Ss046	2828296	2838104				
40	NC_009074.1	Burkholderia pseudomallei 668 chromosome I, complete sequence.	2055909	2060320				
41	NC_007434.1	Burkholderia pseudomallei 1710b chromosome I, complete sequence.	1766583	1770899				
42	NC_006086.1	Streptococcus pyogenes MGAS10394	1825454	1833561				
43	NC_010380.1		1906447	1915282				islandpick=100.0;SIGI-HMM=0.0;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=0.0;Alien_Hunter=100.0
44	NC_002947.3		3008955	3029481				islandpick=100.0;SIGI-HMM=3.8;Centroid=0.0;DIMOB=0.0;PAI_IDA=0.0;DINUC=63.7;Alien_Hunter=0.0
45	NC_009485.1		7643440	7653994				islandpick=100.0;SIGI-HMM=0.0;Centroid=62.2;DIMOB=89.4;PAI_IDA=100.0;DINUC=89.4;Alien_Hunter=100.0
46	NC_010167.1	Brucella suis ATCC 23445 chromosome II, complete sequence.	1351372	1373401				
47	NC_009512.1	Pseudomonas putida F1	4193830	4199505				
48	NC_010102.1		4537530	4550447				islandpick=100.0;SIGI-HMM=29.6;Centroid=0.0;DIMOB=100.0;PAI_IDA=0.0;DINUC=100.0;Alien_Hunter=88.7
49	NC_010322.1	Pseudomonas putida GB-1	3426231	3442926				
50	NC_008595.1	Mycobacterium avium 104	2639158	2643670				
51	NC_009801.1	Escherichia coli E24377A	3136913	3144362				
52	NC_009665.1		3860646	3883912				islandpick=100.0;SIGI-HMM=29.8;Centroid=91.4;DIMOB=60.2;PAI_IDA=81.3;DINUC=60.2;Alien_Hunter=63.9
