#ACCESSION	ORGANISM	START	END	SEQUENCE	INSERTION	DETECTION
NZ_LN877293.1	Bacteroides fragilis 86-5443-2-2	1	8600	AY372755_P1	bfmB/bfmC	PAIDB-REI	PMID:9038310,PMID:10542162,PMID:15342577
NZ_LN877293.1	Bacteroides fragilis VPI 13784	1	6800	AF038459	Nearly perfect 12-bp direct repeats near both ends	PAIDB-REI	PMID:9529104
NZ_HG969192.1	Bartonella tribocorum CIP 105476	1	25600	NC_010161_P1	-	PAIDB-REI	PMID:18037886
NZ_HG969192.1	Bartonella tribocorum CIP 105476	1	13700	NC_010161_P2	-	PAIDB-REI	PMID:18037886
NZ_HG969192.1	Bartonella tribocorum CIP 105476	1	22500	NC_010161_P3	-	PAIDB-REI	PMID:18037886
NZ_HG969192.1	Bartonella tribocorum IBS 506T	1	32400	AJ496288	ubiH/sdhB	PAIDB-REI	
NC_009792.1	Citrobacter koseri 2573	1	800	FJ212117	-	PAIDB-REI	PMID:19132082
NC_013716.1	Citrobacter rodentium DBS100	1	42000	AF311901	IS679/gens for ABC transporter	PAIDB-REI	PMID:11553577
NZ_CP012573.1	Clavibacter michiganensis NCPPB 382	1	128699	NC_009480_P1	-	PAIDB-REI	PMID:18192381
NC_017174.1	Clostridium difficile VPI10463	1	26000	X92982	cdu1, cdu2-2, cdd/2-4	PAIDB-REI	PMID:9108241
NZ_CP013101.1	Clostridium perfringens SM101	1	8000	NC_008262_P1	-	PAIDB-REI	PMID:16825665
NZ_CP013101.1	Clostridium perfringens SM101	1	6200	NC_008262_P2	-	PAIDB-REI	PMID:16825665
NZ_CP013101.1	Clostridium perfringens SM101	1	11400	NC_008262_P3	-	PAIDB-REI	PMID:16825665
NZ_CP013101.1	Clostridium perfringens SM101	1	9900	NC_008262_P4	-	PAIDB-REI	PMID:16825665
NZ_CP013101.1	Clostridium perfringens SM101	1	6100	NC_008262_P5	-	PAIDB-REI	PMID:16825665
NZ_CP013101.1	Clostridium perfringens SM101	1	8800	NC_008262_P6	-	PAIDB-REI	PMID:16825665
NZ_LN831026.1	Corynebacterium diphtheriae 241	1	47000	NC_016782_P1	-	PAIDB-REI	PMID:22505676
NZ_LN831026.1	Corynebacterium diphtheriae C7 (beta)	1	59800	NC_016801_P1	-	PAIDB-REI	PMID:22505676
NZ_LN831026.1	Corynebacterium diphtheriae CDCE 8392	1	20200	NC_016785_P1	-	PAIDB-REI	PMID:22505676
NZ_LN831026.1	Corynebacterium diphtheriae CDCE 8392	1	56100	NC_016785_P2	-	PAIDB-REI	PMID:22505676
NZ_LN831026.1	Corynebacterium diphtheriae HC03	1	27000	NC_016787_P1	tRNA-Arg	PAIDB-REI	PMID:22505676
NZ_LN831026.1	Corynebacterium diphtheriae HC03	1	19000	NC_016787_P2	-	PAIDB-REI	PMID:22505676
NZ_LN831026.1	Corynebacterium diphtheriae INCA 402	1	20000	NC_016783_P1	-	PAIDB-REI	PMID:22505676
NZ_LN831026.1	Corynebacterium diphtheriae NCTC13129	1	34500	NC_002935_P1	-	PAIDB-REI	PMID:14602910
NZ_LN831026.1	Corynebacterium diphtheriae NCTC13129	1	39000	NC_002935_P2	tRNA-Ser / tRNA-Arg	PAIDB-REI	PMID:14602910
NZ_LN831026.1	Corynebacterium diphtheriae NCTC13129	1	17400	NC_002935_P3	tRNA-Arg	PAIDB-REI	PMID:14602910
NZ_LN831026.1	Corynebacterium diphtheriae NCTC13129	1	24700	NC_002935_P4	-	PAIDB-REI	PMID:14602910
NZ_LN831026.1	Corynebacterium diphtheriae NCTC13129	1	11100	NC_002935_P5	-	PAIDB-REI	PMID:14602910
NZ_LN831026.1	Corynebacterium diphtheriae NCTC13129	1	30000	NC_002935_P6	-	PAIDB-REI	PMID:14602910
NZ_LN831026.1	Corynebacterium diphtheriae PW8	1	38900	NC_016789_P1	tRNA-Arg / tRNA-Ser	PAIDB-REI	PMID:22505676
NZ_LN831026.1	Corynebacterium diphtheriae PW8	1	28800	NC_016789_P2	-	PAIDB-REI	PMID:22505676
NZ_CP017711.1	Corynebacterium pseudotuberculosis 1002	1	9200	NC_017300_P1	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis C231	1	9200	NC_017301_P1	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis FRC41	1	8400	NC_014329_P1	-	PAIDB-REI	PMID:21192786
NZ_CP017711.1	Corynebacterium pseudotuberculosis I19	1	9200	NC_017303_P1	-	PAIDB-REI	PMID:21037006
NZ_CP017711.1	Corynebacterium pseudotuberculosis 1002	1	12600	NC_017300_P3	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis C231	1	12600	NC_017301_P3	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis FRC41	1	12600	NC_014329_P3	-	PAIDB-REI	PMID:21192786
NZ_CP017711.1	Corynebacterium pseudotuberculosis I19	1	12600	NC_017303_P3	-	PAIDB-REI	PMID:21037006
NZ_CP017711.1	Corynebacterium pseudotuberculosis 1002	1	19400	NC_017300_P4	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis C231	1	19900	NC_017301_P4	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis FRC41	1	16700	NC_014329_P4	-	PAIDB-REI	PMID:21192786
NZ_CP017711.1	Corynebacterium pseudotuberculosis I19	1	19100	NC_017303_P4	-	PAIDB-REI	PMID:21037006
NZ_CP017711.1	Corynebacterium pseudotuberculosis 1002	1	29000	NC_017300_P5	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis C231	1	29000	NC_017301_P5	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis FRC41	1	28700	NC_014329_P5	-	PAIDB-REI	PMID:21192786
NZ_CP017711.1	Corynebacterium pseudotuberculosis I19	1	29000	NC_017303_P5	-	PAIDB-REI	PMID:21037006
NZ_CP017711.1	Corynebacterium pseudotuberculosis 1002	1	13000	NC_017300_P6	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis C231	1	13000	NC_017301_P6	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis FRC41	1	13000	NC_014329_P6	-	PAIDB-REI	PMID:21192786
NZ_CP017711.1	Corynebacterium pseudotuberculosis I19	1	13000	NC_017303_P6	-	PAIDB-REI	PMID:21037006
NZ_CP017711.1	Corynebacterium pseudotuberculosis 1002	1	24700	NC_017300_P7	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis C231	1	24100	NC_017301_P7	-	PAIDB-REI	PMID:21037006,PMID:21533164
NZ_CP017711.1	Corynebacterium pseudotuberculosis FRC41	1	24100	NC_014329_P7	-	PAIDB-REI	PMID:21192786
NZ_CP017711.1	Corynebacterium pseudotuberculosis I19	1	24100	NC_017303_P7	-	PAIDB-REI	PMID:21037006
NZ_CP012253.1	Cronobacter sakazakii ATCC BAA-894	1	45600	NC_009778_P1	-	PAIDB-REI	PMID:20221447
NZ_CP012253.1	Cronobacter sakazakii ATCC BAA-894	1	47400	NC_009778_P2	-	PAIDB-REI	PMID:20221447
NC_009446.1	Dichelobacter nodosus A198	1	12800	L31763	tRNA-serV	PAIDB-REI	PMID:1748867,PMID:7557417
NC_009446.1	Dichelobacter nodosus A198	1	28100	U20246	ssrA (potential regulatory 10Sa RNA molecule)	PAIDB-REI	PMID:7496519,PMID:10024571
NZ_CP018814.1	Enterobacter cloacae 2325	1	800	FJ212120	-	PAIDB-REI	PMID:19132082
NZ_CP018102.1	Enterococcus faecalis MMH594	1	153600	AF454824	Not published	PAIDB-REI	PMID:12066186
NZ_CP018102.1	Enterococcus faecalis V583	1	137500	NC_004668_P1	EF0479/EF0628	PAIDB-REI	PMID:19725962,PMID:15917518,PMID:12663927
NZ_CP018102.1	Enterococcus faecalis V586	1	17000	AF329367	Not published	PAIDB-REI	
NZ_CP018830.1	Enterococcus faecium DO	1	13600	NC_017960_P1	-	PAIDB-REI	PMID:22769602
NZ_CP018830.1	Enterococcus faecium E300	1	900	AF443999	Not published	PAIDB-REI	
NZ_CP018830.1	Enterococcus faecium E470	1	2200	AY322500	Not published	PAIDB-REI	PMID:14729692
NZ_CP018830.1	Enterococcus faecium E734	1	2200	AY322499	Not published	PAIDB-REI	PMID:14729692
NC_013961.1	Erwinia amylovora 321	1	5800	AF083877	tRNA-phe	PAIDB-REI	
NZ_LT601384.1	Escherichia coli BEN2908	1	29500	AY395687	tRNA-aspV	PAIDB-REI	
NZ_LT601384.1	Escherichia coli BEN2908	1	53200	AY857617	tRNA-selC	PAIDB-REI	PMID:16428402
NZ_LT601384.1	Escherichia coli E2348/69	1	15200	AF297061	ssrA (potential regulatory 10Sa RNA molecule)	PAIDB-REI	PMID:11119520
NZ_LT601384.1	Escherichia coli 789	1	11500	DQ077151	Not published	PAIDB-REI	PMID:16291689
NZ_LT601384.1	Escherichia coli RS218	1	20300	AF289032	yjiD/ujiE	PAIDB-REI	PMID:7591087,PMID:11008113,PMID:11237832,PMID:11793250
NZ_LT601384.1	Escherichia coli 3172/97	1	1300	AJ245584	tRNA-asnT	PAIDB-REI	PMID:10531259
NZ_LT601384.1	Escherichia coli 536	1	800	GQ903054	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli 5720/96	1	900	AJ245585	tRNA-asnT	PAIDB-REI	PMID:10531259
NZ_LT601384.1	Escherichia coli AD110	1	800	GQ903049	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli Asp12e	1	800	GQ903059	tRNA-asn	PAIDB-REI	
NZ_LT601384.1	Escherichia coli BEN13f	1	800	GQ903058	tRNA-asn	PAIDB-REI	
