NC_000853.1	Thermotoga maritima
NC_000907.1	Haemophilus influenzae
NC_000911.1	Synechocystis sp.
NC_000912.1	Mycoplasma pneumoniae
NC_000913.3	Escherichia coli
NC_000915.1	Helicobacter pylori
NC_000918.1	Aquifex aeolicus
NC_000921.1	Helicobacter pylori
NC_000922.1	Chlamydophila pneumoniae
NC_000962.3	Mycobacterium tuberculosis
NC_000964.3	Bacillus subtilis
NC_001263.1	Deinococcus radiodurans
NC_001264.1	Deinococcus radiodurans
NC_001318.1	Borrelia afzelii
NC_001318.1	Borrelia burgdorferi
NC_002162.1	Ureaplasma parvum
NC_002162.1	Ureaplasma urealyticum
NC_002488.3	Xylella fastidiosa
NC_002491.1	Chlamydophila pneumoniae
NC_002505.1	Vibrio cholerae
NC_002506.1	Vibrio cholerae
NC_002516.2	Pseudomonas aeruginosa
NC_002570.2	Bacillus halodurans
NC_002620.2	Chlamydia muridarum
NC_002662.1	Lactococcus lactis
NC_002663.1	Pasteurella multocida
NC_002677.1	Mycobacterium leprae
NC_002678.2	Mesorhizobium loti
NC_002695.1	Escherichia coli
NC_002696.2	Caulobacter crescentus
NC_002737.2	Streptococcus pyogenes
NC_002745.2	Staphylococcus aureus
NC_002755.2	Mycobacterium tuberculosis
NC_002758.2	Staphylococcus aureus
NC_002771.1	Mycoplasma pulmonis
NC_002927.3	Bordetella bronchiseptica
NC_002928.3	Bordetella parapertussis
NC_002929.2	Bordetella pertussis
NC_002932.3	Chlorobium tepidum
NC_002935.2	Corynebacterium diphtheriae
NC_002936.3	Dehalococcoides mccartyi
NC_002937.3	Desulfovibrio vulgaris
NC_002939.5	Geobacter sulfurreducens
NC_002940.2	Haemophilus ducreyi
NC_002942.5	Legionella pneumophila
NC_002944.2	Mycobacterium avium
NC_002946.2	Neisseria gonorrhoeae
NC_002947.4	Pseudomonas putida
NC_002950.2	Porphyromonas gingivalis
NC_002951.2	Staphylococcus aureus
NC_002952.2	Staphylococcus aureus
NC_002953.3	Staphylococcus aureus
NC_002967.9	Treponema denticola
NC_002971.3	Coxiella burnetii
NC_002973.6	Listeria monocytogenes
NC_002976.3	Staphylococcus epidermidis
NC_002977.6	Methylococcus capsulatus
NC_002978.6	Wolbachia endosymbiont
NC_003028.3	Streptococcus pneumoniae
NC_003030.1	Clostridium acetobutylicum
NC_003047.1	Sinorhizobium meliloti
NC_003062.2	Agrobacterium fabrum
NC_003063.2	Agrobacterium fabrum
NC_003098.1	Streptococcus pneumoniae
NC_003103.1	Rickettsia conorii
NC_003112.2	Neisseria meningitidis
NC_003116.1	Neisseria meningitidis
NC_003143.1	Yersinia pestis
NC_003155.5	Streptomyces avermitilis
NC_003197.2	Salmonella enterica
NC_003198.1	Salmonella enterica
NC_003210.1	Listeria monocytogenes
NC_003212.1	Listeria innocua
NC_003228.3	Bacteroides fragilis
NC_003272.1	Nostoc sp.
NC_003295.1	Ralstonia solanacearum
NC_003317.1	Brucella melitensis
NC_003318.1	Brucella melitensis
NC_003361.3	Chlamydophila caviae
NC_003366.1	Clostridium perfringens
NC_003450.3	Corynebacterium glutamicum
NC_003454.1	Fusobacterium nucleatum
NC_003485.1	Streptococcus pyogenes
NC_003869.1	Thermoanaerobacter tengcongensis
NC_003888.3	Streptomyces coelicolor
NC_003902.1	Xanthomonas campestris
NC_003909.8	Bacillus cereus
NC_003910.7	Colwellia psychrerythraea
NC_003911.12	Ruegeria pomeroyi
NC_003912.7	Campylobacter jejuni
NC_003919.1	Xanthomonas axonopodis
NC_003919.1	Xanthomonas citri
NC_003923.1	Staphylococcus aureus
NC_003997.3	Bacillus anthracis
NC_004070.1	Streptococcus pyogenes
NC_004088.1	Yersinia pestis
NC_004113.1	Thermosynechococcus elongatus
NC_004116.1	Streptococcus agalactiae
NC_004129.6	Pseudomonas protegens
NC_004193.1	Oceanobacillus iheyensis
NC_004307.2	Bifidobacterium longum
NC_004310.3	Brucella suis
NC_004311.2	Brucella suis
NC_004337.2	Shigella flexneri
NC_004342.2	Leptospira interrogans
NC_004343.2	Leptospira interrogans
NC_004347.2	Shewanella oneidensis
NC_004350.2	Streptococcus mutans
NC_004368.1	Streptococcus agalactiae
NC_004369.1	Corynebacterium efficiens
NC_004431.1	Escherichia coli
NC_004432.1	Mycoplasma penetrans
NC_004459.3	Vibrio vulnificus
NC_004460.2	Vibrio vulnificus
NC_004461.1	Staphylococcus epidermidis
NC_004463.1	Bradyrhizobium japonicum
NC_004547.2	Erwinia carotovora
NC_004551.1	Tropheryma whipplei
NC_004556.1	Xylella fastidiosa
NC_004557.1	Clostridium tetani
NC_004567.2	Lactobacillus plantarum
NC_004572.3	Tropheryma whipplei
NC_004578.1	[Pseudomonas syringae]
NC_004603.1	Vibrio parahaemolyticus
NC_004605.1	Vibrio parahaemolyticus
NC_004606.1	Streptococcus pyogenes
NC_004631.1	Salmonella enterica
NC_004663.1	Bacteroides thetaiotaomicron
NC_004668.1	Enterococcus faecalis
NC_004722.1	Bacillus cereus
NC_004741.1	Shigella flexneri
NC_004757.1	Nitrosomonas europaea
NC_004829.2	Mycoplasma gallisepticum
NC_004842.2	Anaplasma marginale
NC_004917.1	Helicobacter hepaticus
